n_pc,k,explained_variance,silhouette,calinski_harabasz,davies_bouldin,inertia,silhouette_rank,calinski_rank,davies_rank,explained_rank,complexity_rank,composite_rank
2,5,0.3512938977930765,0.5563884591442467,2495.2560704940897,0.6652397648585004,6379.192074752113,1.0,4.0,1.0,43.0,6.0,6.449999999999999
2,6,0.3512938977930765,0.5559971971376689,2574.6388529102123,0.6835680649447186,5181.02919454078,2.0,3.0,2.0,43.0,9.0,7.050000000000001
2,7,0.3512938977930765,0.5521202148846068,2661.305297030491,0.7184704182754302,4313.607777802894,3.0,2.0,3.0,43.0,12.0,7.6499999999999995
2,8,0.3512938977930765,0.549620651209663,2668.5448694101706,0.7664277786015866,3761.083666492001,4.0,1.0,5.0,43.0,15.0,8.45
3,6,0.4296892093865018,0.5334846241137934,1893.6790033715065,0.8560905341147413,8133.166336489814,5.0,7.0,11.0,36.0,12.0,10.5
3,5,0.4296892093865018,0.5275679872724638,1872.2025215069339,0.8025040995271088,9740.464606905549,8.0,8.0,6.0,36.0,9.0,10.5
2,4,0.3512938977930765,0.5051546865650753,1858.1123829268429,0.7416033794647766,9843.250302377728,9.0,9.0,4.0,43.0,4.0,10.9
3,8,0.4296892093865018,0.5314713979204759,1973.2629667485533,0.863511809908812,5969.264775113885,6.0,5.0,12.0,36.0,19.0,11.25
3,7,0.4296892093865018,0.5298976609778494,1932.7222505966838,0.8888117308757165,6907.1769815403695,7.0,6.0,13.0,36.0,15.0,11.65
3,4,0.4296892093865018,0.48943870540150963,1578.2983348736823,0.8459498431566289,13427.652641440047,10.0,11.0,9.0,36.0,6.0,12.25
2,3,0.3512938977930765,0.48086160129693,1674.2538910377016,0.8410822548246139,13561.927840456668,11.0,10.0,8.0,43.0,2.0,12.45
5,6,0.5477232627032057,0.4594484632457459,988.7617934534909,0.8481841518603307,16630.203337616353,14.0,15.0,10.0,29.0,19.0,15.45
5,7,0.5477232627032057,0.47105447606188056,987.9744903207383,0.9413743370582373,14695.005570575151,12.0,16.0,16.0,29.0,22.0,16.5
2,2,0.3512938977930765,0.4437113658057896,1475.878928730738,1.0338507124278975,19874.618025327538,16.0,12.0,23.0,43.0,1.0,17.6
5,8,0.5477232627032057,0.4706538883623413,984.2710006448395,1.002339665529618,13192.766546249153,13.0,17.0,20.0,29.0,25.0,18.200000000000003
5,5,0.5477232627032057,0.45704985327557135,972.3576000806224,1.0199946981219772,19359.483592200653,15.0,18.0,21.0,29.0,15.0,18.35
8,7,0.6848481107594535,0.42541379425920994,670.652787949452,0.8284002377892568,23699.381204297788,18.0,23.0,7.0,22.0,31.0,18.750000000000004
3,3,0.4296892093865018,0.41419664847968807,1253.3789059591838,1.044983102441495,19350.256927719234,22.0,13.0,25.0,36.0,4.0,19.95
8,8,0.6848481107594535,0.4428482207116423,682.7071034248834,0.9033142411175141,21250.738686113156,17.0,22.0,15.0,22.0,34.0,20.049999999999997
8,6,0.6848481107594535,0.42296454862480243,659.4507584955894,0.9726308066392098,26653.03233323728,19.0,24.0,18.0,22.0,28.0,21.25
5,4,0.5477232627032057,0.4115239802494842,900.3450477321983,1.047281529826539,23748.252943233485,23.0,19.0,26.0,29.0,12.0,22.099999999999998
10,8,0.7460475625780779,0.4222585817234375,557.5926800577602,0.9833182170834043,26294.48359708558,20.0,31.0,19.0,15.0,40.0,24.05
10,7,0.7460475625780779,0.403321622147582,557.9745810407521,0.8959487862200604,28779.14025309204,25.0,30.0,14.0,15.0,37.0,24.25
8,5,0.6848481107594535,0.41966905450715286,622.7204024228361,1.1714021300556638,30926.05577305476,21.0,26.0,31.0,22.0,25.0,24.75
3,2,0.4296892093865018,0.3805789963791134,1175.1229629438767,1.232367673153102,26272.580378872422,31.0,14.0,34.0,36.0,2.0,24.95
10,6,0.7460475625780779,0.4005219896633917,548.9964502959584,1.0486703123761036,32065.44894713094,26.0,32.0,27.0,15.0,34.0,27.4
5,3,0.5477232627032057,0.3695708315120438,832.9751691679921,1.2212630666442985,29586.069585879362,34.0,21.0,33.0,29.0,9.0,27.549999999999997
12,7,0.8017599035834824,0.38587417773389937,478.62349985358276,0.9538069734628509,33646.72231074263,28.0,39.0,17.0,8.0,43.0,28.049999999999997
8,4,0.6848481107594535,0.373228160533807,603.1127468128742,1.1590301817385322,35770.2197079139,33.0,27.0,30.0,22.0,22.0,28.699999999999996
12,8,0.8017599035834824,0.4057567317712813,473.90084824537433,1.0426550741678073,31082.487242256077,24.0,41.0,24.0,8.0,45.0,28.75
10,5,0.7460475625780779,0.3972392983441056,530.4306413567398,1.2634577796288347,36353.489815424284,27.0,35.0,36.0,15.0,31.0,30.0
5,2,0.5477232627032057,0.34114435658364833,853.8229017015151,1.4138256806963916,36650.771869035,40.0,20.0,40.0,29.0,6.0,30.5
12,6,0.8017599035834824,0.3827973568976126,476.84903260007906,1.1177277164671517,36981.40179891563,29.0,40.0,28.0,8.0,40.0,30.55
8,3,0.6848481107594535,0.3414013250429665,599.1680142875334,1.354995961044673,41609.27735676691,39.0,28.0,39.0,22.0,19.0,32.55
15,7,0.8690323056621632,0.3618043711335468,408.3046922529631,1.0274419985700745,39550.49027354631,35.0,48.0,22.0,1.0,48.0,33.55
15,8,0.8690323056621632,0.3816766225075939,400.7007229544166,1.12902950585349,36917.888445950564,30.0,49.0,29.0,1.0,49.0,33.550000000000004
10,4,0.7460475625780779,0.3534062463403361,524.6593132401322,1.2492017455434654,41191.67163726042,38.0,36.0,35.0,15.0,28.0,33.599999999999994
12,5,0.8017599035834824,0.3797313139339824,467.8303035564544,1.344519183777137,41282.47483305797,32.0,43.0,38.0,8.0,37.0,34.050000000000004
8,2,0.6848481107594535,0.31925344600766353,642.9234291765152,1.5650064878511223,48853.46074567927,43.0,25.0,46.0,22.0,15.0,34.2
15,6,0.8690323056621632,0.36009716039296874,410.60150650913687,1.199397772785479,42971.485592748,36.0,46.0,32.0,1.0,47.0,35.300000000000004
10,3,0.7460475625780779,0.3292208920887722,530.7099102321148,1.4221404400808348,47046.560791642834,42.0,34.0,42.0,15.0,25.0,35.6
12,4,0.8017599035834824,0.3395499410785539,470.16222873616755,1.3264984298027727,46096.05712395954,41.0,42.0,37.0,8.0,34.0,36.449999999999996
10,2,0.7460475625780779,0.30774632133629737,578.9881725426898,1.6321444824628233,54306.45939453165,46.0,29.0,47.0,15.0,22.0,36.45
12,3,0.8017599035834824,0.31800727433635206,480.75309392761255,1.479019646845736,51998.77830625153,44.0,38.0,44.0,8.0,31.0,37.6
15,5,0.8690323056621632,0.3558228542605105,408.96508856830525,1.445162090672491,47265.060147860204,37.0,47.0,43.0,1.0,45.0,37.9
12,2,0.8017599035834824,0.2985424321896993,531.2505694516694,1.6968519267636881,59266.081119814175,48.0,33.0,48.0,8.0,28.0,38.24999999999999
15,4,0.8690323056621632,0.314991592371482,416.25160358504087,1.4141934559286362,52092.05704832685,45.0,45.0,41.0,1.0,43.0,39.6
15,2,0.8690323056621632,0.28740961115326974,482.7479221289403,1.7822409332456046,65266.22627854324,49.0,37.0,49.0,1.0,37.0,40.00000000000001
15,3,0.8690323056621632,0.30434730882926536,431.35560419301044,1.563038430319881,57993.88578950341,47.0,44.0,45.0,1.0,40.0,40.550000000000004
